City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Thompson,CA,2021-01-26 15:01:43,55.7435,-97.8558,-13.0,84,75,4.61
67,Marsh Harbour,BS,2021-01-26 15:09:22,26.5412,-77.0636,75.51,79,46,15.43
68,New Norfolk,AU,2021-01-26 15:01:47,-42.7826,147.0587,54.0,67,28,3.69
69,Dikson,RU,2021-01-26 15:01:54,73.5069,80.5464,-24.9,85,100,9.82
70,Lorengau,PG,2021-01-26 15:01:14,-2.0226,147.2712,82.4,77,99,10.22
71,Khatanga,RU,2021-01-26 15:01:51,71.9667,102.5,-23.39,85,97,5.41
72,Meulaboh,ID,2021-01-26 15:01:40,4.1363,96.1285,78.98,81,91,4.59
73,Vaini,TO,2021-01-26 15:01:48,-21.2,-175.2,77.0,94,75,8.05
74,Buraydah,SA,2021-01-26 15:00:33,26.326,43.975,75.2,29,0,5.75
75,Lewisporte,CA,2021-01-26 15:09:22,49.2499,-55.0482,32.0,93,90,25.32
76,Pevek,RU,2021-01-26 15:01:43,69.7008,170.3133,-31.61,84,50,2.89
77,San Cristobal,VE,2021-01-26 15:01:58,7.7669,-72.225,78.8,69,40,4.61
78,Oranjemund,NA,2021-01-26 15:09:23,-28.55,16.4333,68.0,73,36,23.33
79,Port Alfred,ZA,2021-01-26 14:59:36,-33.5906,26.891,77.95,66,0,15.59
80,Narsaq,GL,2021-01-26 15:02:21,60.9167,-46.05,21.2,25,20,19.57
81,Shingu,JP,2021-01-26 15:02:46,33.7333,135.9833,58.71,89,100,15.46
82,Arraial Do Cabo,BR,2021-01-26 15:00:06,-22.9661,-42.0278,87.8,58,0,16.11
83,Puerto Ayora,EC,2021-01-26 15:01:41,-0.7393,-90.3518,78.8,83,75,11.5
84,Homer,US,2021-01-26 15:09:23,59.6425,-151.5483,26.01,93,1,4.61
85,Noshiro,JP,2021-01-26 15:09:23,40.2039,140.0242,40.39,77,100,8.23
86,Yangambi,CD,2021-01-26 15:07:02,0.8102,24.4336,88.48,50,66,1.9
87,Qaanaaq,GL,2021-01-26 15:01:51,77.484,-69.3632,-6.48,63,0,8.3
88,Mar Del Plata,AR,2021-01-26 14:57:27,-38.0023,-57.5575,77.0,73,51,3.44
89,Selcuk,TR,2021-01-26 15:09:24,37.9514,27.3685,64.4,72,75,14.97
90,Pangnirtung,CA,2021-01-26 15:02:01,66.1451,-65.7125,-4.0,84,75,3.44
91,Fortuna,US,2021-01-26 15:02:02,40.5982,-124.1573,36.0,100,90,13.8
92,Hamina,FI,2021-01-26 15:09:24,60.5697,27.1979,32.0,100,75,6.91
93,Busselton,AU,2021-01-26 15:01:42,-33.65,115.3333,55.99,78,76,7.16
94,Yellowknife,CA,2021-01-26 15:00:11,62.456,-114.3525,-20.0,69,20,10.36
95,Itarema,BR,2021-01-26 15:02:44,-2.9248,-39.9167,86.61,61,100,16.22
96,Irtyshskiy,RU,2021-01-26 15:09:24,58.3333,68.1333,32.47,97,100,12.95
97,Coquimbo,CL,2021-01-26 14:57:47,-29.9533,-71.3436,60.8,94,90,9.22
98,Dhidhdhoo,MV,2021-01-26 15:09:25,6.8833,73.1,81.52,63,85,11.59
99,Avarua,CK,2021-01-26 14:57:46,-21.2078,-159.775,80.71,78,56,15.48
100,Yar-Sale,RU,2021-01-26 15:09:25,66.8333,70.8333,-22.65,87,100,7.05
101,Lavrentiya,RU,2021-01-26 15:01:51,65.5833,-171.0,0.93,91,95,4.76
102,Portland,US,2021-01-26 15:07:44,45.5234,-122.6762,37.0,89,100,1.01
103,Ilulissat,GL,2021-01-26 15:01:53,69.2167,-51.1,10.4,61,75,3.44
104,Caravelas,BR,2021-01-26 15:02:39,-17.7125,-39.2481,86.2,49,0,10.11
105,Berlevag,NO,2021-01-26 15:01:38,70.8578,29.0864,26.6,74,75,40.29
106,Husavik,IS,2021-01-26 15:09:25,66.0449,-17.3389,23.0,74,75,20.71
107,Merrill,US,2021-01-26 15:09:26,45.1805,-89.6835,14.0,79,90,9.22
108,Sibolga,ID,2021-01-26 15:09:26,1.7427,98.7792,77.63,80,100,4.83
109,Lima,PE,2021-01-26 15:01:52,-12.0432,-77.0282,71.6,83,0,8.05
110,Srednekolymsk,RU,2021-01-26 15:02:23,67.45,153.6833,-32.35,82,100,9.93
111,Uzhur,RU,2021-01-26 15:09:26,55.3036,89.8339,-29.2,83,28,4.03
112,Oro Valley,US,2021-01-26 15:09:22,32.3909,-110.9665,39.0,98,91,8.99
113,Sistranda,NO,2021-01-26 15:09:26,63.7256,8.834,33.8,93,75,17.27
114,Myitkyina,MM,2021-01-26 15:08:09,25.3833,97.4,61.29,55,0,2.64
115,Airai,TL,2021-01-26 15:01:52,-8.9266,125.4092,60.89,100,96,2.26
116,Guanica,PR,2021-01-26 15:09:26,17.9716,-66.908,82.0,59,0,1.01
117,Torbay,CA,2021-01-26 15:02:29,47.6666,-52.7314,34.0,100,90,16.11
118,Kundiawa,PG,2021-01-26 15:09:27,-6.0167,144.9667,62.62,81,100,1.14
119,Ahipara,NZ,2021-01-26 15:09:27,-35.1667,173.1667,63.37,91,1,4.52
120,Sitka,US,2021-01-26 15:09:27,57.0531,-135.33,30.2,80,75,4.61
121,Bureya,RU,2021-01-26 15:09:27,49.8133,129.8131,2.19,94,100,5.99
122,Dingle,PH,2021-01-26 15:01:52,10.9995,122.6711,73.69,89,96,6.82
123,Saskylakh,RU,2021-01-26 15:02:22,71.9167,114.0833,-33.41,83,0,2.19
124,General Roca,AR,2021-01-26 15:08:19,-39.0333,-67.5833,77.0,25,0,10.36
125,Belem De Sao Francisco,BR,2021-01-26 15:09:28,-8.7539,-38.9658,89.2,38,100,12.26
126,Mareeba,AU,2021-01-26 15:09:28,-17.0,145.4333,77.0,83,100,6.91
127,Vila Velha,BR,2021-01-26 15:05:49,-20.3297,-40.2925,88.0,58,40,16.11
128,Finnsnes,NO,2021-01-26 15:09:28,69.2296,17.9811,-0.4,85,40,2.3
129,Mwene-Ditu,CD,2021-01-26 15:06:10,-7.0,23.45,76.5,82,82,2.39
130,Jiblah,YE,2021-01-26 15:09:28,13.9216,44.1467,63.0,48,68,2.53
131,Porto Belo,BR,2021-01-26 15:09:28,-27.1578,-48.5531,82.4,74,75,2.3
132,Weligama,LK,2021-01-26 15:09:28,5.9667,80.4167,75.38,79,61,2.66
133,Provideniya,RU,2021-01-26 15:01:48,64.3833,-173.3,0.32,89,6,6.35
134,San Patricio,US,2021-01-26 15:01:48,28.017,-97.5169,69.01,45,90,17.27
135,Byron Bay,AU,2021-01-26 14:58:28,-28.65,153.6167,73.4,88,6,4.61
136,Katherine,AU,2021-01-26 15:09:29,-14.4667,132.2667,78.8,89,40,2.3
137,Tura,IN,2021-01-26 15:09:29,25.5198,90.2201,58.91,46,0,2.66
138,Markova,UA,2021-01-26 15:09:29,48.6758,24.4138,35.6,51,75,15.66
139,Princeton,US,2021-01-26 15:09:29,25.5384,-80.4089,79.0,65,20,9.22
140,Ancud,CL,2021-01-26 15:01:58,-41.8697,-73.8203,63.0,76,75,8.05
141,Mayumba,GA,2021-01-26 15:09:29,-3.432,10.6554,79.65,85,94,9.91
