City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kavieng,PG,-2.5744,150.7967,83.14,77,86,11.61,overcast clouds
80,San Francisco Del Mar,MX,16.2333,-94.65,84.97,58,11,12.37,few clouds
81,General Roca,AR,-39.0333,-67.5833,75.2,27,0,8.05,clear sky
82,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,59,40,10.36,scattered clouds
83,Middelburg,ZA,-25.7751,29.4648,65.61,85,99,7.18,overcast clouds
84,Chuy,UY,-33.6971,-53.4616,76.68,77,3,12.62,clear sky
85,Pangoa,PE,-12.1167,-73.0,76.15,88,98,1.63,overcast clouds
86,Kruisfontein,ZA,-34.0033,24.7314,64.99,82,100,7.56,light rain
87,Vestmannaeyjar,IS,63.4427,-20.2734,34.99,85,67,30.74,broken clouds
88,Rojhan,PK,28.6868,69.9534,48.13,46,0,2.75,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,65,0,26.46,clear sky
90,Misratah,LY,32.3754,15.0925,56.01,67,93,16.98,overcast clouds
91,Jega,NG,12.2175,4.3792,78.39,16,14,10.02,few clouds
92,Bluff,NZ,-46.6,168.3333,50.0,90,100,15.01,overcast clouds
93,Zhuhai,CN,22.2769,113.5678,64.99,88,0,4.61,clear sky
94,Klaksvik,FO,62.2266,-6.589,32.0,80,56,10.36,broken clouds
95,Assare,BR,-6.8744,-39.875,84.56,44,87,4.59,overcast clouds
96,Russell,US,32.3502,-85.1999,62.6,67,90,9.22,overcast clouds
97,Henties Bay,NA,-22.116,14.2845,68.0,84,26,4.79,scattered clouds
98,Marfino,RU,55.7028,37.3822,33.8,74,75,4.47,light snow
99,Port Lincoln,AU,-34.7333,135.8667,66.22,78,79,9.55,broken clouds
100,Nouakchott,MR,18.0858,-15.9785,77.0,6,0,9.22,clear sky
101,Najran,SA,17.4924,44.1277,57.2,38,0,2.33,clear sky
102,Sahuaripa,MX,29.05,-109.2333,66.42,25,92,6.2,overcast clouds
103,Cherskiy,RU,68.75,161.3,-22.86,85,100,3.27,overcast clouds
104,Alyangula,AU,-13.8483,136.4192,82.4,83,75,5.75,broken clouds
105,Bafq,IR,31.6128,55.4107,47.14,40,0,4.07,clear sky
106,Tanabe,JP,33.7333,135.3667,45.48,61,35,6.73,scattered clouds
107,Thinadhoo,MV,0.5333,72.9333,81.52,75,56,16.89,moderate rain
108,Mar Del Plata,AR,-38.0023,-57.5575,69.8,52,0,12.66,clear sky
109,Northam,GB,51.0333,-4.2167,51.01,98,100,8.01,overcast clouds
110,Clyde River,CA,70.4692,-68.5914,-13.0,77,40,2.3,scattered clouds
111,Bambous Virieux,MU,-20.3428,57.7575,78.01,83,40,4.61,scattered clouds
112,Chokurdakh,RU,70.6333,147.9167,-15.45,88,100,14.18,overcast clouds
113,Saskylakh,RU,71.9167,114.0833,-41.51,80,89,1.48,overcast clouds
114,Grand Gaube,MU,-20.0064,57.6608,78.01,81,0,1.99,clear sky
115,Fort Wellington,GY,6.4,-57.6,78.82,77,82,12.88,broken clouds
116,Ancud,CL,-41.8697,-73.8203,62.6,63,20,13.8,few clouds
117,Yellowknife,CA,62.456,-114.3525,-9.0,70,90,2.3,light snow
118,Hammerfest,NO,70.6634,23.6821,21.2,68,20,14.97,few clouds
119,Narsaq,GL,60.9167,-46.05,37.4,32,75,32.21,broken clouds
120,Tecpan,GT,14.7623,-90.9947,82.0,44,20,11.5,few clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,4.61,few clouds
122,Gamba,GA,-2.65,10.0,77.22,89,100,3.8,overcast clouds
123,Tongchuan,CN,35.0806,109.0897,28.49,69,0,3.83,clear sky
124,Paris,FR,48.8534,2.3488,46.99,100,90,8.05,light rain
125,Faanui,PF,-16.4833,-151.75,81.5,72,64,14.45,broken clouds
126,Ballina,AU,-28.8667,153.5667,75.2,83,40,8.05,scattered clouds
